S No.;Date;App Name;Usage (in Seconds);Launch Count;is Monitoring;is SystemApp;Package Name
1;2019/12/27;Calendar;1;1;Yes;No;com.android.calendar
2;2019/12/25;Calendar;52;3;Yes;No;com.android.calendar
3;2019/12/24;Calendar;1;1;Yes;No;com.android.calendar
4;2019/12/23;Calendar;3;1;Yes;No;com.android.calendar
5;2019/12/24;nebenan.de (Uninstalled);8;1;Yes;No;de.nebenan.app
6;2019/12/24;AntiVirus (Uninstalled);34;2;Yes;No;com.antivirus
7;2019/12/23;Facebook;307;3;Yes;No;com.facebook.katana
8;2019/12/24;Calendar;5;2;Yes;No;com.google.android.calendar
9;2019/12/28;Messaging;45;4;Yes;No;com.android.mms
10;2019/12/25;Calendar;3;2;Yes;No;com.google.android.calendar
11;2019/12/26;Messaging;15;3;Yes;No;com.android.mms
12;2019/12/27;Facebook;105;4;Yes;No;com.facebook.katana
13;2019/12/26;Diccionario;33;3;Yes;No;es.rae.dle
14;2019/12/24;Facebook;25;1;Yes;No;com.facebook.katana
15;2019/12/27;Chrome;153;3;Yes;No;com.android.chrome
16;2019/12/26;Chrome;205;1;Yes;No;com.android.chrome
17;2019/12/25;Chrome;345;10;Yes;No;com.android.chrome
18;2019/12/24;Chrome;777;6;Yes;No;com.android.chrome
19;2019/12/23;Chrome;632;1;Yes;No;com.android.chrome
20;2019/12/24;Messaging;52;5;Yes;No;com.android.mms
21;2019/12/25;Messaging;9;3;Yes;No;com.android.mms
22;2019/12/23;Messaging;3;1;Yes;No;com.android.mms
23;2019/12/23;Translate;9;2;Yes;No;com.google.android.apps.translate
24;2019/12/28;Contacts and dialer;149;14;Yes;No;com.android.contacts
25;2019/12/26;Contacts and dialer;79;6;Yes;No;com.android.contacts
26;2019/12/27;Contacts and dialer;41;11;Yes;No;com.android.contacts
27;2019/12/24;Contacts and dialer;1;1;Yes;No;com.android.contacts
28;2019/12/25;Contacts and dialer;150;12;Yes;No;com.android.contacts
29;2019/12/23;Contacts and dialer;82;3;Yes;No;com.android.contacts
30;2019/12/25;EL PAÍS;570;21;Yes;No;com.elpais.elpais
31;2019/12/24;EL PAÍS;597;15;Yes;No;com.elpais.elpais
32;2019/12/27;EL PAÍS;1146;24;Yes;No;com.elpais.elpais
33;2019/12/26;EL PAÍS;541;22;Yes;No;com.elpais.elpais
34;2019/12/28;WhatsApp;3161;113;Yes;No;com.whatsapp
35;2019/12/28;EL PAÍS;291;11;Yes;No;com.elpais.elpais
36;2019/12/26;WhatsApp;3514;88;Yes;No;com.whatsapp
37;2019/12/23;Calculator;22;1;Yes;No;com.miui.calculator
38;2019/12/27;WhatsApp;5015;124;Yes;No;com.whatsapp
39;2019/12/24;WhatsApp;7423;155;Yes;No;com.whatsapp
40;2019/12/25;WhatsApp;3879;144;Yes;No;com.whatsapp
41;2019/12/23;Scanner;1;1;Yes;No;com.xiaomi.scanner
42;2019/12/23;WhatsApp;2520;101;Yes;No;com.whatsapp
43;2019/12/23;EL PAÍS;1556;33;Yes;No;com.elpais.elpais
44;2019/12/28;Gmail;359;51;Yes;No;com.google.android.gm
45;2019/12/28;Gallery;9;1;Yes;No;com.miui.gallery
46;2019/12/23;Security;10;3;Yes;No;com.miui.securitycenter
47;2019/12/27;Gallery;4;1;Yes;No;com.miui.gallery
48;2019/12/26;Gallery;39;3;Yes;No;com.miui.gallery
49;2019/12/25;Gallery;63;12;Yes;No;com.miui.gallery
50;2019/12/23;Gallery;105;5;Yes;No;com.miui.gallery
51;2019/12/24;Settings;26;1;Yes;No;com.android.settings
52;2019/12/25;Santander;214;2;Yes;No;es.bancosantander.apps
53;2019/12/23;Gmail;1704;103;Yes;No;com.google.android.gm
54;2019/12/23;Santander;93;3;Yes;No;es.bancosantander.apps
55;2019/12/25;Gmail;569;76;Yes;No;com.google.android.gm
56;2019/12/28;Santander;80;4;Yes;No;es.bancosantander.apps
57;2019/12/24;Gmail;926;79;Yes;No;com.google.android.gm
58;2019/12/26;Santander;113;5;Yes;No;es.bancosantander.apps
59;2019/12/27;Gmail;1987;97;Yes;No;com.google.android.gm
60;2019/12/26;Gmail;1419;61;Yes;No;com.google.android.gm
61;2019/12/27;Santander;275;11;Yes;No;es.bancosantander.apps
62;2019/12/23;Drive;107;6;Yes;No;com.google.android.apps.docs
63;2019/12/23;Spotify;316;18;No;No;com.spotify.music
